Symbol,Side,Type,Qty,Limit Price,Stop Price,Fill Price,Status,Commission,Leverage,Margin,Placing Time,Closing Time,Order ID
BINANCE:BTCUSDT,Sell,Market,1,,,117739.7,Filled,2.37,10:1,"11,779.86 USD",2025-07-20 00:11:20,2025-07-20 00:11:21,2153244879
BINANCE:BTCUSDT,Buy,Limit,1,117717.42,,117717.42,Filled,2.37,10:1,"11,777.63 USD",2025-07-20 00:11:02,2025-07-20 00:11:02,2153244641
CME_MINI:MNQ1!,Sell,Stop,1,,20728.75,20728.5,Filled,2.37,,,2025-02-28 21:30:36,2025-02-28 21:34:24,1828042339
CME_MINI:MNQ1!,Sell,Limit,1,20790.5,,,Cancelled,,,,2025-02-28 21:30:28,2025-02-28 21:34:24,1828042049
CME_MINI:MNQ1!,Buy,Market,1,,,20748.75,Filled,2.37,500:1,83.00 USD,2025-02-28 21:30:19,2025-02-28 21:30:19,1828041701
CME_MINI:MNQ1!,Sell,Stop,1,,20748.25,,Cancelled,,,,2025-02-28 21:26:33,2025-02-28 21:29:27,1828034164
CME_MINI:MNQ1!,Sell,Limit,1,20764,,20764,Filled,2.37,,,2025-02-28 21:26:30,2025-02-28 21:29:27,1828034086
CME_MINI:MNQ1!,Buy,Market,1,,,20731.25,Filled,2.37,500:1,82.93 USD,2025-02-28 21:26:18,2025-02-28 21:26:18,1828033641
CME_MINI:MNQ1!,Buy,Stop,1,,20717.5,20717.25,Filled,2.37,,,2025-02-28 21:25:05,2025-02-28 21:25:07,1828030772
CME_MINI:MNQ1!,Sell,Market,1,,,20703.25,Filled,2.37,500:1,82.81 USD,2025-02-28 21:24:35,2025-02-28 21:24:35,1828029689
CME_MINI:MNQ1!,Sell,Market,1,,,20722.25,Filled,2.37,500:1,82.89 USD,2025-02-28 21:20:38,2025-02-28 21:20:38,1828020471
CME_MINI:MNQ1!,Sell,Market,1,,,20740.5,Filled,2.37,500:1,82.96 USD,2025-02-28 21:14:09,2025-02-28 21:14:09,1828008204
CME_MINI:MNQ1!,Sell,Limit,1,20762.25,,20762.75,Filled,2.37,500:1,83.05 USD,2025-02-28 21:05:28,2025-02-28 21:08:39,1827992671
CME_MINI:MNQ1!,Sell,Limit,1,20792.75,,,Cancelled,,500:1,,2025-02-28 21:05:15,2025-02-28 21:32:36,1827992299
CME_MINI:MNQ1!,Sell,Limit,2,20780.25,,,Cancelled,,500:1,,2025-02-28 20:52:35,2025-02-28 21:05:03,1827968737
CME_MINI:MNQ1!,Sell,Limit,2,20780.25,,,Cancelled,,,,2025-02-28 20:48:19,2025-02-28 20:52:28,1827960692
CME_MINI:MNQ1!,Buy,Stop,1,,20748.75,20748,Filled,2.37,500:1,83.00 USD,2025-02-28 20:43:45,2025-02-28 21:04:40,1827952798
CME_MINI:MNQ1!,Buy,Stop,1,,20717.75,20718,Filled,2.37,500:1,82.87 USD,2025-02-28 20:43:38,2025-02-28 20:51:38,1827952601
CME_MINI:MNQ1!,Sell,Stop,1,,20676.5,,Cancelled,,,,2025-02-28 20:43:02,2025-02-28 21:20:38,1827951547
CME_MINI:MNQ1!,Buy,Market,1,,,20686.75,Filled,2.37,500:1,82.75 USD,2025-02-28 20:42:32,2025-02-28 20:42:32,1827950736
CME_MINI:MNQ1!,Buy,Market,1,,,20673.75,Filled,2.37,500:1,82.70 USD,2025-02-28 20:38:59,2025-02-28 20:38:59,1827943629
CME_MINI:MNQ1!,Buy,Market,1,,,20662,Filled,2.37,500:1,82.65 USD,2025-02-28 20:38:16,2025-02-28 20:38:16,1827942061
CME_MINI:MNQ1!,Buy,Limit,1,20624.5,,,Cancelled,,500:1,,2025-02-28 20:37:10,2025-02-28 20:39:58,1827939754
CME_MINI:MNQ1!,Buy,Stop,1,,20680.25,20680.75,Filled,2.37,,,2025-02-28 20:36:45,2025-02-28 20:39:18,1827938896
CME_MINI:MNQ1!,Sell,Limit,1,20658.5,,20658.75,Filled,2.37,500:1,82.63 USD,2025-02-28 20:36:21,2025-02-28 20:36:35,1827937968
CME_MINI:MNQ1!,Sell,Limit,1,20653,,20653.25,Filled,2.37,500:1,82.61 USD,2025-02-28 20:36:10,2025-02-28 20:36:26,1827937549
CME_MINI:MNQ1!,Sell,Limit,1,20648,,20648,Filled,2.37,500:1,82.59 USD,2025-02-28 20:36:03,2025-02-28 20:36:24,1827937308
CME_MINI:MNQ1!,Buy,Limit,3,20576.75,,,Cancelled,,,,2025-02-28 20:33:02,2025-02-28 20:35:29,1827931236
CME_MINI:MNQ1!,Buy,Stop,3,,20675,,Cancelled,,,,2025-02-28 20:33:02,2025-02-28 20:35:29,1827931235
CME_MINI:MNQ1!,Sell,Limit,3,20658,,,Cancelled,,500:1,,2025-02-28 20:33:02,2025-02-28 20:35:29,1827931234
CME_MINI:MNQ1!,Sell,Limit,1,20593.5,,20593.5,Filled,2.37,,,2025-02-28 20:22:53,2025-02-28 20:23:17,1827910796
CME_MINI:MNQ1!,Sell,Stop,1,,20537,,Cancelled,,,,2025-02-28 20:22:32,2025-02-28 20:23:17,1827909942
CME_MINI:MNQ1!,Buy,Market,1,,,20565.25,Filled,2.37,500:1,82.26 USD,2025-02-28 20:22:23,2025-02-28 20:22:24,1827909580
CME_MINI:MNQ1!,Buy,Limit,1,20583.75,,,Cancelled,,,,2025-02-28 19:39:11,2025-02-28 19:40:15,1827804491
CME_MINI:MNQ1!,Buy,Stop,1,,20660.75,20660.75,Filled,2.37,,,2025-02-28 19:38:57,2025-02-28 19:40:16,1827803858
CME_MINI:MNQ1!,Sell,Market,2,,,20633.75,Filled,4.74,500:1,165.07 USD,2025-02-28 19:38:47,2025-02-28 19:38:47,1827803429
CME_MINI:MNQ1!,Sell,Limit,1,20729.5,,,Cancelled,,,,2025-02-28 19:37:59,2025-02-28 19:38:47,1827801187
CME_MINI:MNQ1!,Buy,Market,2,,,20641,Filled,4.74,500:1,165.13 USD,2025-02-28 19:37:44,2025-02-28 19:37:44,1827800357
CME_MINI:MNQ1!,Sell,Stop,1,,20542.5,,Cancelled,,500:1,,2025-02-28 19:34:10,2025-02-28 19:34:30,1827788833
CME_MINI:MNQ1!,Buy,Limit,1,20506.75,,,Cancelled,,,,2025-02-28 19:30:50,2025-02-28 19:37:44,1827779137
CME_MINI:MNQ1!,Buy,Stop,1,,20655.5,,Cancelled,,,,2025-02-28 19:30:43,2025-02-28 19:37:44,1827778737
CME_MINI:MNQ1!,Sell,Market,1,,,20589,Filled,2.37,500:1,82.36 USD,2025-02-28 19:29:50,2025-02-28 19:29:50,1827774972
CME_MINI:MNQ1!,Buy,Limit,1,20452.75,,,Cancelled,,,,2025-02-28 19:17:42,2025-02-28 19:29:20,1827739036
CME_MINI:MNQ1!,Buy,Stop,1,,20580,20580,Filled,2.37,,,2025-02-28 19:17:37,2025-02-28 19:29:20,1827738751
CME_MINI:MNQ1!,Sell,Market,1,,,20527.5,Filled,2.37,500:1,82.11 USD,2025-02-28 19:17:30,2025-02-28 19:17:30,1827738348
CME_MINI:MNQ1!,Buy,Market,1,,,20536.5,Filled,2.37,500:1,82.15 USD,2025-02-28 19:14:26,2025-02-28 19:14:26,1827727896
CME_MINI:MNQ1!,Buy,Stop,1,,20565.75,,Cancelled,,,,2025-02-28 19:14:19,2025-02-28 19:14:26,1827727676
CME_MINI:MNQ1!,Buy,Limit,1,20507,,,Cancelled,,,,2025-02-28 19:14:16,2025-02-28 19:14:26,1827727549
CME_MINI:MNQ1!,Sell,Market,1,,,20540.75,Filled,2.37,500:1,82.16 USD,2025-02-28 19:14:10,2025-02-28 19:14:10,1827727333
